"GU Name","st_y","st_x","production","price_trgt"
"El Dorado",38.7785513126572,-120.52456813106,400,60
"Glenn",39.598390425214,-122.392159094317,500,60
"Inyo",36.5111266250246,-117.41076076082,800,60
"Kern",35.3429349623424,-118.729837491691,2200,60
"Lake",39.0996023878386,-122.753154247038,1100,60
"Lassen",40.6735617708835,-120.594301608766,1400,60
"Madera",37.2180034695218,-119.762695642115,600,60
"Mariposa",37.5815385298561,-119.905469601414,1000,60
"Modoc",41.5898254001135,-120.724916645812,1900,60
"Mono",37.938961999452,-118.886647918255,1800,60
"Monterey",36.2170459584146,-121.238771818172,2100,60
"Napa",38.5065604564974,-122.330440548815,700,60
"Nevada",39.3014123721336,-120.768288490273,300,60
"Placer",39.0634421258282,-120.717675282862,300,60
"Riverside",33.7437085463073,-115.993846561399,1100,60
"San Benito",36.6056403241606,-121.074982938106,900,60
"San Luis Obispo",35.3870555456038,-120.404235348084,1800,60
"Shasta",40.7637798959158,-122.040479498307,1600,60
"Siskiyou",41.5926429825785,-122.540348371139,1500,60
"Sonoma",38.5283780493331,-122.887144335612,500,60
"Stanislaus",37.559187230998,-120.997732312048,400,60
"Tehama",40.1257437136924,-122.233930819839,1600,60
"Trinity",40.6506426612768,-123.112592108855,400,60
"Tulare",36.2201431578565,-118.800502057318,1300,60
"Tuolumne",38.0276212082334,-119.954748294066,700,60
"Ventura",34.4563644356241,-119.083683753329,900,60
"Yolo",38.686675159901,-121.901642250476,300,60
