"GU Name","st_y","st_x","production"
"Alameda",37.6456269803497,-121.889258808933,500
"Alpine",38.5971645988603,-119.820613821768,400
"Amador",38.4460848473385,-120.65200226161,700
"Butte",39.6669208692129,-121.600658016008,900
"Calaveras",38.2046205424407,-120.554049462494,1400
"Colusa",39.1775444702773,-122.237016327185,1000
"Contra Costa",37.919029329686,-121.928584251677,100
"Del Norte",41.7431105165713,-123.896988468445,100
"El Dorado",38.7785513126572,-120.52456813106,900
"Fresno",36.7583806435343,-119.650414456523,1800
"Glenn",39.598390425214,-122.392159094317,900
"Humboldt",40.6987917050856,-123.872595316812,300
"Imperial",33.03955607694,-115.36546730591,0
"Inyo",36.5111266250246,-117.41076076082,1500
"Kern",35.3429349623424,-118.729837491691,4400
"Kings",36.0753998905414,-119.815546588744,0
"Lake",39.0996023878386,-122.753154247038,2200
"Lassen",40.6735617708835,-120.594301608766,2700
"Los Angeles",34.3213484041063,-118.224811158311,3300
"Madera",37.2180034695218,-119.762695642115,1300
"Marin",38.0729275972039,-122.722654268491,200
"Mariposa",37.5815385298561,-119.905469601414,1900
"Mendocino",39.44035247021,-123.391468704175,2500
"Merced",37.1926152683985,-120.717997023678,300
"Modoc",41.5898254001135,-120.724916645812,3700
"Mono",37.938961999452,-118.886647918255,3700
"Monterey",36.2170459584146,-121.238771818172,4200
"Napa",38.5065604564974,-122.330440548815,1400
"Nevada",39.3014123721336,-120.768288490273,600
"Orange",33.7027844723077,-117.761140407558,700
"Placer",39.0634421258282,-120.717675282862,600
"Plumas",40.0046775043616,-120.838587801257,300
"Riverside",33.7437085463073,-115.993846561399,2300
"Sacramento",38.4489807693226,-121.344001057857,100
"San Benito",36.6056403241606,-121.074982938106,1900
"San Bernardino",34.8414505421364,-116.178391611404,2500
"San Diego",33.0341541826972,-116.735169258096,5400
"San Joaquin",37.9345394099711,-121.271988235893,100
"San Luis Obispo",35.3870555456038,-120.404235348084,3600
"San Mateo",37.4234833087668,-122.327126187664,300
"Santa Barbara",34.6736517420332,-120.017011350916,2800
"Santa Clara",37.2325018690903,-121.696289386899,1800
"Santa Cruz",37.0562299191422,-122.001818962165,100
"Shasta",40.7637798959158,-122.040479498307,3200
"Sierra",39.5803708065701,-120.516066965172,100
"Siskiyou",41.5926429825785,-122.540348371139,3100
"Solano",38.2705414898965,-121.931734183242,200
"Sonoma",38.5283780493331,-122.887144335612,1100
"Stanislaus",37.559187230998,-120.997732312048,700
"Sutter",39.0345233909365,-121.694900391158,100
"Tehama",40.1257437136924,-122.233930819839,3200
"Trinity",40.6506426612768,-123.112592108855,700
"Tulare",36.2201431578565,-118.800502057318,2600
"Tuolumne",38.0276212082334,-119.954748294066,1400
"Ventura",34.4563644356241,-119.083683753329,1800
"Yolo",38.686675159901,-121.901642250476,700
"Yuba",39.2691179388893,-121.351225364658,300
