"gid","bus_number","bus_name","long_name","voltage","bus_type","area","county","state","loc_code","source","entity_id","layer_id","the_geom"
3635,31079,"SIM_PULP","31079_SIM_PULP",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204944,2345,"0101000020E6100000F4C5DE8B2F0E5FC0E0F3C308E1614440"
3650,31100,"EEL RIVR","31100_EEL RIVR",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204960,2345,"0101000020E610000027DD96C8050E5FC017D86322A54F4440"
3634,31078,"FPC","31078_FPC",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204943,2345,"0101000020E61000003480B740820D5FC064AC36FFAF644440"
3642,31090,"HMBLT BY","31090_HMBLT BY",60,"LOAD","PG AND E","Humboldt","CA","1","Previously Mapped Substation; Aerial Imagery",1204952,2345,"0101000020E610000064CA87A06A0D5FC04E266E15C45E4440"
3633,31076,"LP-SAMOA","31076_LP-SAMOA",60,"LOAD","PG AND E","Humboldt","CA","2","Previously Mapped Substation; Previously Mapped Plant; Street Address",1204942,2345,"0101000020E61000007BBDFBE3BD0C5FC0130A117008654440"
3631,31074,"FAIRHAVN","31074_FAIRHAVN",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204940,2345,"0101000020E6100000BC02D193320C5FC00491459A78674440"
3630,31073,"LP_JCT","31073_LP_JCT",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204939,2345,"0101000020E6100000E5D022DBF90B5FC04C7155D977694440"
3640,31087,"EUREKA A","31087_EUREKA A",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204950,2345,"0101000020E6100000462575029A0B5FC0205D6C5A29664440"
3639,31086,"EUREKA","31086_EUREKA",60,"LOAD","PG AND E","Humboldt","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1204949,2345,"0101000020E6100000BBD05CA7910B5FC0A4A99ECC3F644440"
8560,45377,"BELMONTP","45377_BELMONTP",69,"LOAD","NORTHWEST","Del Norte","CA","3","Previously Mapped Substation; Regional Maps; Ventyx Research",1209909,2345,"0101000020E6100000D87F9D9B360B5FC07D96E7C1DDE34440"
