"name","st_x","st_y","limit"
CENTERVILLE 1101,-121.6288301,39.78586996,251
NOTRE DAME 1101,-121.79798,39.71518003,2489
NOTRE DAME 1102,-121.80528,39.73460002,1242
NOTRE DAME 1103,-121.8039501,39.72784001,0
NOTRE DAME 1104,-121.68056,39.78586004,1746
CHICO STATION A 0401,-121.82435,39.71801996,120
CHICO STATION A 0402,-121.82504,39.72390005,347
CHICO STATION A 1101,-121.82737,39.73436001,904
CHICO STATION A 1102,-121.83181,39.73584997,1634
CHICO STATION A 1103,-121.825,39.71181999,863
ESQUON 1101,-121.6704399,39.54878998,134
ESQUON 1102,-121.7713,39.56865996,249
ESQUON 1103,-121.75148,39.62467999,237
BUCKS CREEK 1101,-121.3298,39.91012999,5
BUCKS CREEK 1102,-121.14775,40.08529997,22
BUCKS CREEK 1103,-121.14544,39.86451004,122
HAMILTON BRANCH 1101,-121.00118,40.29925997,729
CHICO STATION B 1101,-121.85004,39.72433996,1232
CHICO STATION B 1102,-121.85,39.72700001,1491
CHICO STATION B 1103,-121.83876,39.72532003,1333
CHICO STATION B 1105,-121.8474599,39.73161004,1601
CHICO STATION B 1106,-121.84035,39.73162996,1044
OROVILLE 0402,-121.55907,39.50546001,157
OROVILLE 0403,-121.56945,39.51110001,67
OROVILLE 1101,-121.5649599,39.50359004,2133
OROVILLE 1102,-121.55018,39.51483998,1582
OROVILLE 1103,-121.56362,39.50221,349
OROVILLE 1104,-121.53021,39.51680004,1022
GRAYS FLAT 0401,-121.03265,40.01903996,31
VOLTA 1101,-121.4946,40.36128,859
VOLTA 1102,-121.5626799,40.53708997,899
EAST QUINCY 1101,-120.88937,39.92503004,687
CHICO STATION C 0401,-121.84545,39.74056003,147
BIG MEADOWS 2101,-120.8579399,40.10952996,758
PARADISE 1101,-121.58913,39.77650998,1376
PARADISE 1102,-121.56971,39.75898001,2007
PARADISE 1103,-121.62447,39.73495996,2230
PARADISE 1104,-121.56958,39.73952003,2047
PARADISE 1105,-121.58886,39.78721997,1023
PARADISE 1106,-121.59019,39.81467996,1276
ANITA 1101,-121.88835,39.77819002,384
ANITA 1102,-121.9214,39.81130003,343
ANITA 1105,-121.86881,39.78020004,1113
ANITA 1106,-121.8490999,39.82799996,949
WYANDOTTE 1102,-121.54936,39.51541999,2479
WYANDOTTE 1103,-121.3464,39.63699001,2170
WYANDOTTE 1105,-121.31168,39.68352001,474
WYANDOTTE 1106,-121.51139,39.38445999,2471
WYANDOTTE 1107,-121.35481,39.49014996,1347
WYANDOTTE 1109,-121.4729,39.43610999,2091
WYANDOTTE 1110,-121.4597,39.53568,1675
COTTONWOOD 1101,-122.25018,40.38855001,892
COTTONWOOD 1102,-122.2697501,40.39663,1266
COTTONWOOD 1103,-122.21246,40.33416998,1750
DAYTON ROAD 0401,-121.83532,39.72527998,170
SYCAMORE CREEK 1101,-121.82429,39.76853003,1760
SYCAMORE CREEK 1102,-121.82988,39.75372004,1791
SYCAMORE CREEK 1103,-121.80752,39.76108999,562
SYCAMORE CREEK 1104,-121.81072,39.74886,1196
SYCAMORE CREEK 1105,-121.8259,39.74965002,1958
SYCAMORE CREEK 1107,-121.8307,39.76609998,1874
SYCAMORE CREEK 1109,-121.76948,39.76541997,1418
SYCAMORE CREEK 1110,-121.83006,39.76848996,2441
