Stand,State,Slope,AYD,Treatment Area,Elev,Harvesting System
0,CA,0,0,20,0,Ground-Based Mech WT
1,CA,0,0,30,0,Ground-Based Mech WT
2,CA,0,0,40,0,Ground-Based Mech WT
3,CA,0,0,50,0,Ground-Based Mech WT
4,CA,0,0,60,0,Ground-Based Mech WT
5,CA,0,0,70,0,Ground-Based Mech WT
6,CA,0,0,80,0,Ground-Based Mech WT
7,CA,0,0,90,0,Ground-Based Mech WT
8,CA,0,0,100,0,Ground-Based Mech WT
9,CA,0,0,110,0,Ground-Based Mech WT
10,CA,0,0,120,0,Ground-Based Mech WT
11,CA,0,0,130,0,Ground-Based Mech WT
12,CA,0,0,140,0,Ground-Based Mech WT
13,CA,0,0,150,0,Ground-Based Mech WT
14,CA,0,0,160,0,Ground-Based Mech WT
15,CA,0,0,170,0,Ground-Based Mech WT
16,CA,0,0,180,0,Ground-Based Mech WT
17,CA,0,0,190,0,Ground-Based Mech WT
18,CA,0,100,20,0,Ground-Based Mech WT
19,CA,0,100,30,0,Ground-Based Mech WT
20,CA,0,100,40,0,Ground-Based Mech WT
21,CA,0,100,50,0,Ground-Based Mech WT
22,CA,0,100,60,0,Ground-Based Mech WT
23,CA,0,100,70,0,Ground-Based Mech WT
24,CA,0,100,80,0,Ground-Based Mech WT
25,CA,0,100,90,0,Ground-Based Mech WT
26,CA,0,100,100,0,Ground-Based Mech WT
27,CA,0,100,110,0,Ground-Based Mech WT
28,CA,0,100,120,0,Ground-Based Mech WT
29,CA,0,100,130,0,Ground-Based Mech WT
30,CA,0,100,140,0,Ground-Based Mech WT
31,CA,0,100,150,0,Ground-Based Mech WT
32,CA,0,100,160,0,Ground-Based Mech WT
33,CA,0,100,170,0,Ground-Based Mech WT
34,CA,0,100,180,0,Ground-Based Mech WT
35,CA,0,100,190,0,Ground-Based Mech WT
36,CA,0,200,20,0,Ground-Based Mech WT
37,CA,0,200,30,0,Ground-Based Mech WT
38,CA,0,200,40,0,Ground-Based Mech WT
39,CA,0,200,50,0,Ground-Based Mech WT
40,CA,0,200,60,0,Ground-Based Mech WT
41,CA,0,200,70,0,Ground-Based Mech WT
42,CA,0,200,80,0,Ground-Based Mech WT
43,CA,0,200,90,0,Ground-Based Mech WT
44,CA,0,200,100,0,Ground-Based Mech WT
45,CA,0,200,110,0,Ground-Based Mech WT
46,CA,0,200,120,0,Ground-Based Mech WT
47,CA,0,200,130,0,Ground-Based Mech WT
48,CA,0,200,140,0,Ground-Based Mech WT
49,CA,0,200,150,0,Ground-Based Mech WT
50,CA,0,200,160,0,Ground-Based Mech WT
51,CA,0,200,170,0,Ground-Based Mech WT
52,CA,0,200,180,0,Ground-Based Mech WT
53,CA,0,200,190,0,Ground-Based Mech WT
54,CA,0,300,20,0,Ground-Based Mech WT
55,CA,0,300,30,0,Ground-Based Mech WT
56,CA,0,300,40,0,Ground-Based Mech WT
57,CA,0,300,50,0,Ground-Based Mech WT
58,CA,0,300,60,0,Ground-Based Mech WT
59,CA,0,300,70,0,Ground-Based Mech WT
60,CA,0,300,80,0,Ground-Based Mech WT
61,CA,0,300,90,0,Ground-Based Mech WT
62,CA,0,300,100,0,Ground-Based Mech WT
63,CA,0,300,110,0,Ground-Based Mech WT
64,CA,0,300,120,0,Ground-Based Mech WT
65,CA,0,300,130,0,Ground-Based Mech WT
66,CA,0,300,140,0,Ground-Based Mech WT
67,CA,0,300,150,0,Ground-Based Mech WT
68,CA,0,300,160,0,Ground-Based Mech WT
69,CA,0,300,170,0,Ground-Based Mech WT
70,CA,0,300,180,0,Ground-Based Mech WT
71,CA,0,300,190,0,Ground-Based Mech WT
72,CA,0,400,20,0,Ground-Based Mech WT
73,CA,0,400,30,0,Ground-Based Mech WT
74,CA,0,400,40,0,Ground-Based Mech WT
75,CA,0,400,50,0,Ground-Based Mech WT
76,CA,0,400,60,0,Ground-Based Mech WT
77,CA,0,400,70,0,Ground-Based Mech WT
78,CA,0,400,80,0,Ground-Based Mech WT
79,CA,0,400,90,0,Ground-Based Mech WT
80,CA,0,400,100,0,Ground-Based Mech WT
81,CA,0,400,110,0,Ground-Based Mech WT
82,CA,0,400,120,0,Ground-Based Mech WT
83,CA,0,400,130,0,Ground-Based Mech WT
84,CA,0,400,140,0,Ground-Based Mech WT
85,CA,0,400,150,0,Ground-Based Mech WT
86,CA,0,400,160,0,Ground-Based Mech WT
87,CA,0,400,170,0,Ground-Based Mech WT
88,CA,0,400,180,0,Ground-Based Mech WT
89,CA,0,400,190,0,Ground-Based Mech WT
